formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	Fatty acids	0.636	Fatty Acids and Conjugates	0.168	Halogenated fatty acids	0.844	Organohalogen compounds	0.997	Alkyl halides	0.859	Alkyl fluorides	0.857			Alkyl fluorides	0.857	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.008	46	0.773	857337208986643698	857336423906560528	857336423902366223	205	
1	C5N2O7	[M + Na]+	C5N2NaO7+	Alkaloids	0.888	Nicotinic acid alkaloids	0.139	Pyridine alkaloids	0.140	Organoheterocyclic compounds	0.955	Heteroaromatic compounds	0.664					Heteroaromatic compounds	0.664	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	222.961	48	0.799	857337226242010529	857336424195967512	857336424191773207	232	
1	C7H4ClNO4S	[M + Na]+	C7H4ClNNaO4S+	Fatty acids	0.153	β-lactams	0.104	Cephalosporins	0.064	Organohalogen compounds	0.999	Aryl halides	0.918	Aryl chlorides	0.954			Aryl chlorides	0.954	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acids; Organochlorides; Aryl halides; Vinyl halides; Vinylogous halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255.944	50	0.826	857337215672364336	857336425139685936	857336425127103023	398	
1	C3H2Cl2	[M + H3N + H]+	C3H6Cl2N+	Fatty acids	0.261	Fatty acyls	0.200	Halogenated fatty acids	0.192	Benzenoids	0.708	Benzene and substituted derivatives	0.631	Halobenzenes	0.637	Chlorobenzenes	0.596	Chlorobenzenes	0.596	Organic compounds; Halobenzenes; Organohalogen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Hydrocarbon derivatives; Chemical entities	125.986	50	0.829	857337218004397382	857336425517173304	857336425512978999	429	
1	CH7FN3O2S	[M + Na]+	CH7FN3NaO2S+	Alkaloids	0.161	Small peptides	0.059	Aminoacids	0.069	Organic nitrogen compounds	0.996	Organonitrogen compounds	0.778					Organonitrogen compounds	0.778	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organic salts; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	167.013	50	0.834	857337242809511468	857336426452503116	857336426448308811	428	
1	C6H12N2	[M + H]+	C6H13N2+	Alkaloids	0.906	Lysine alkaloids	0.139	Polyamines	0.206	Organoheterocyclic compounds	0.982	Diazinanes	0.902	Piperazines	0.910	N-alkylpiperazines	0.814	N-alkylpiperazines	0.814	Organic compounds; Organoheterocyclic compounds; Piperazines; Organonitrogen compounds; Dialkylamines; Trialkylamines; Diazinanes; Amines; Secondary amines; Tertiary amines; N-alkylpiperazines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	113.107	52	0.864	857337201944407196	857336426855156312	857336426850962007	583	
1	C6H12O2Si	[M + K]+	C6H12KO2Si+	Fatty acids	0.945	Fatty Acids and Conjugates	0.785	Halogenated fatty acids	0.869	Organic oxygen compounds	0.990	Organooxygen compounds	0.956	Carbonyl compounds	0.681			Carbonyl compounds	0.681	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	183.024	53	0.880	857337201805995154	857336426964208220	857336426960013915	621	
1	C4H8N2O4S	[M + H]+	C4H9N2O4S+	Amino acids and Peptides	0.619	Small peptides	0.451	Aminoacids	0.468	Organic acids and derivatives	0.986	Organic sulfonic acids and derivatives	0.599	Organosulfonic acids and derivatives	0.585			Organosulfonic acids and derivatives	0.585	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	181.026	53	0.880	857337198073064565	857336427098425952	857336427098425951	631	
1	CH4N2O5P2	[M + H]+	CH5N2O5P2+	Alkaloids	0.227	Pseudoalkaloids (transamidation)	0.205	Polyamines	0.033	Organic acids and derivatives	0.726	Organic phosphonic acids and derivatives	0.747	Organic phosphonic acids	0.693			Organic phosphonic acids	0.693	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic nitro compounds; Organic phosphonic acids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	186.966	54	0.900	857337228934753758	857336427480107624	857336427475913319	697	
1	CH6N2O4S2	[M + H]+	CH7N2O4S2+	Fatty acids	0.279	Fatty acyls	0.037	Polyamines	0.063	Organic acids and derivatives	0.976	Organic sulfonic acids and derivatives	0.904	Organosulfonic acids and derivatives	0.902			Organosulfonic acids and derivatives	0.902	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	174.985	54	0.905	857337240422952472	857336427584965228	857336427584965227	733	
1	C2H4N2O4S2	[M + H]+	C2H5N2O4S2+	Fatty acids	0.240	Fatty Acids and Conjugates	0.365	Imidazole alkaloids	0.253	Organic acids and derivatives	0.953	Carboxylic acids and derivatives	0.742	Carboxylic acids	0.671			Carboxylic acids	0.671	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	184.969	55	0.909	857337227324140999	857336427694017136	857336427689822831	699	
1	C4H5F2NO3S	[M + Na]+	C4H5F2NNaO3S+	Amino acids and Peptides	0.883	Small peptides	0.782	Aminoacids	0.708	Organohalogen compounds	0.997	Aryl halides	0.414	Aryl fluorides	0.597			Aryl fluorides	0.597	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Monoalkylamines; Aryl fluorides; Sulfonyls; Organofluorides; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	207.985	55	0.913	857337225977769360	857336427798874740	857336427794680435	701	
1	C5H13NO	[M + H]+	C5H14NO+	Fatty acids	0.770	Fatty amides	0.032	Sphingoid bases	0.201	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Quaternary ammonium salts	0.772			Quaternary ammonium salts	0.772	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Quaternary ammonium salts; Amines; Alkanolamines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	104.107	55	0.916	857337188946258996	857336427895343736	857336427895343735	741	
1	C5H6FNO3Si	[M + Na]+	C5H6FNNaO3Si+	Fatty acids	0.797	Small peptides	0.720	Halogenated fatty acids	0.954	Organohalogen compounds	0.995	Aryl halides	0.283	Aryl fluorides	0.556			Aryl fluorides	0.556	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	198.001	55	0.916	857337226632080821	857336428025367164	857336428025367163	735	
1	C3H5N5O	[M + H]+	C3H6N5O+	Alkaloids	0.855	Histidine alkaloids	0.462	Imidazole alkaloids	0.464	Organoheterocyclic compounds	1.000	Triazines	0.986	Aminotriazines	0.777			Aminotriazines	0.777	Organic compounds; Organoheterocyclic compounds; Triazines; Organonitrogen compounds; Organooxygen compounds; Aminotriazines; Triazinones; Amines; Primary amines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	128.057	56	0.927	857337214984498469	857336428130224768	857336428126030463	763	
1	C4H4O8S	[M + Na]+	C4H4NaO8S+	Fatty acids	0.920	Fatty Acids and Conjugates	0.924	Dicarboxylic acids	0.502	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.993	Dicarboxylic acids and derivatives	0.578			Dicarboxylic acids and derivatives	0.578	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Carbonyl compounds; Acylsulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	234.952	56	0.931	857337217996008763	857336428239276676	857336428235082371	999	
1	C10H14FN3O	[M + H]+	C10H15FN3O+	Alkaloids	0.278	Small peptides	0.081	Tripeptides	0.007	Benzenoids	0.995	Benzene and substituted derivatives	0.984	N-phenylureas	0.661			N-phenylureas	0.661	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Organooxygen compounds; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; N-phenylureas; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	212.118	56	0.937	857337227596770769	857336428344134280	857336428339939975	843	
1	C7H15FN2O2	[M + H]+	C7H16FN2O2+	Alkaloids	0.874	Nicotinic acid alkaloids	0.578	Pyridine alkaloids	0.581	Organoheterocyclic compounds	0.968	Pyridines and derivatives	0.809					Pyridines and derivatives	0.809	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Amines; Alkyl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	179.118	56	0.939	857337220311264622	857336428444797580	857336428440603275	867	
1	C7H15FN2O	[M + H]+	C7H16FN2O+	Alkaloids	0.973	Nicotinic acid alkaloids	0.712	Pyridine alkaloids	0.714	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.949	Aralkylamines	0.674	Aralkylamines	0.674	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Dialkylamines; Amines; Secondary amines; Alkyl halides; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	163.123	57	0.942	857337211478060302	857336428541266576	857336428537072271	862	
1	C6H9O2	[M + H]+	C6H10O2+	Fatty acids	0.682	Monoterpenoids	0.234	Acyclic monoterpenoids	0.107	Organic oxygen compounds	0.996	Organooxygen compounds	0.993	Carbonyl compounds	0.711			Carbonyl compounds	0.711	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	114.066	57	0.945	857337207170510042	857336428637735572	857336428633541267	864	
1	C7H7AsO3	[M + Na]+	C7H7AsNaO3+	Fatty acids	0.420	Fatty Acids and Conjugates	0.138	Halogenated fatty acids	0.266	Organometallic compounds	0.999	Organometalloid compounds	0.999	Organoarsenic compounds	0.999	Pentavalent organic arsenic compounds	0.554	Pentaorganoarsanes	0.554	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organoarsenic compounds; Organometallic compounds; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Chemical entities	236.949	57	0.948	857337244101357135	857336428742593176	857336428738398871	1101	
1	C6H15N	[M + H]+	C6H16N+	Fatty acids	0.588	Fatty acyls	0.297	Polyamines	0.136	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.995	Tertiary amines	0.929	Trialkylamines	0.929	Organic compounds; Organonitrogen compounds; Trialkylamines; Amines; Tertiary amines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	102.128	57	0.950	857337227319946694	857336428839062172	857336428834867867	898	
1	C11H23NO2	[M + H]+	C11H24NO2+	Alkaloids	0.604	Lysine alkaloids	0.731	Piperidine alkaloids	0.768	Organoheterocyclic compounds	0.780	Piperidines	0.783					Piperidines	0.783	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organonitrogen compounds; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.180	57	0.951	857337212606328084	857336428931336864	857336428927142559	1124	
1	C12H23N	[M + H]+	C12H24N+	Alkaloids	0.649	Pseudoalkaloids (transamidation)	0.200	Acetate-derived alkaloids	0.185	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Cyclohexylamines	0.895			Cyclohexylamines	0.895	Organic compounds; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Cyclohexylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	182.190	57	0.953	857337225747082638	857336429254298284	857336429250103979	1068	
1	C5H7FO2S	[M + Na]+	C5H7FNaO2S+	Fatty acids	0.915	Fatty acyls	0.413	Halogenated fatty acids	0.373	Organosulfur compounds	0.989	Sulfonyls	0.920	Sulfones	0.859			Sulfones	0.859	Organic compounds; Organosulfur compounds; Organohalogen compounds; Sulfones; Sulfonyls; Organofluorides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	173.005	57	0.956	857337243430268485	857336429346572976	857336429342378671	1106	
1	C7H13FN2O2	[M + H]+	C7H14FN2O2+	Alkaloids	0.527	Small peptides	0.351	Aminoacids	0.316	Organic acids and derivatives	0.841	Carboxylic acids and derivatives	0.795	Amino acids, peptides, and analogues	0.613	Amino acids and derivatives	0.613	Amino acids and derivatives	0.613	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Carbonyl compounds; Amines; Alkyl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	177.102	57	0.956	857337250296344154	857336429451430580	857336429447236275	1118	
1	C12H27N	[M + H]+	C12H28N+	Fatty acids	0.558	Fatty acyls	0.389	Polyamines	0.183	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.982	Tertiary amines	0.904	Trialkylamines	0.877	Organic compounds; Organonitrogen compounds; Trialkylamines; Amines; Tertiary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	186.222	58	0.963	857337234878082570	857336429543705272	857336429543705271	1229	
1	C7H15N3O3S	[M + Na]+	C7H15N3NaO3S+	Amino acids and Peptides	0.752	Histidine alkaloids	0.661	Imidazole alkaloids	0.660	Organic acids and derivatives	0.516	Carboxylic acids and derivatives	0.490	Carboxylic acids	0.532			Carboxylic acids	0.532	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Thioethers; Carboxylic acids; Carbonyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	244.072	58	0.964	857337256822681189	857336429640174268	857336429635979963	1327	
1	C9H19NO	[M + H]+	C9H20NO+	Alkaloids	0.795	Pseudoalkaloids (transamidation)	0.544	Acetate-derived alkaloids	0.196	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.972			Amines	0.972	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Amines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.154	58	0.965	857337235062631954	857336429740837568	857336429736643263	1033	
1	C10H14F2O2	[M - H2O + H]+	C10H13F2O+	Fatty acids	0.779	Fatty Acids and Conjugates	0.595	Halogenated fatty acids	0.753	Organohalogen compounds	0.997	Alkyl halides	0.945	Alkyl fluorides	0.908			Alkyl fluorides	0.908	Organic compounds; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	187.094	58	0.970	857337242310389285	857336429925386952	857336429921192647	1313	
1	C6H13N	[M + H]+	C6H14N+	Alkaloids	0.958	Pseudoalkaloids (transamidation)	0.926	Acetate-derived alkaloids	0.980	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.895			Amines	0.895	Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	100.112	58	0.973	857337243115695683	857336430026050252	857336430021855947	925	
1	C5H6NO3	[M + H]+	C5H7NO3+	Fatty acids	0.776	Fatty Acids and Conjugates	0.563	Halogenated fatty acids	0.288	Organic acids and derivatives	0.741	Carboxylic acids and derivatives	0.751	Carboxylic acids	0.616			Carboxylic acids	0.616	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	129.041	59	0.987	857337295674519197	857336430227376852	857336430223182547	1420	
1	C5H7Br	[M + H]+	C5H8Br+	Fatty acids	0.925	Fatty acyls	0.602	Halogenated fatty acids	0.610	Organohalogen compounds	0.981	Alkyl halides	0.592	Alkyl bromides	0.533			Alkyl bromides	0.533	Organic compounds; Organohalogen compounds; Alkyl bromides; Organobromides; Alkyl halides; Hydrocarbon derivatives; Chemical entities	146.981	59	0.988	857337269971824248	857336430353205976	857336430349011671	1246	
1	C2H10N4	[M + K]+	C2H10KN4+	Alkaloids	0.616	Fatty acyls	0.388	Polyamines	0.417	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.984					Organonitrogen compounds	0.984	Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities	129.055	60	1.002	857337328750800547	857336430558726880	857336430554532575	1366	
1	C9H20O5	[M + H]+	C9H21O5+	Fatty acids	0.965	Fatty acyls	0.682	Fatty alcohols	0.623	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.989	Polyethylene glycols	0.583	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	209.138	61	1.020	857337329161842351	857336430651001572	857336430646807267	1670	
