formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C2H5N3OS	[M + H]+	C2H6N3OS+	Alkaloids	0.490	Histidine alkaloids	0.471	Imidazole alkaloids	0.469	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	N-arylamides	0.380	N-acetylarylamines	0.618	N-acetylarylamines	0.618	Organic compounds; Organoheterocyclic compounds; Thiadiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; N-acetylarylamines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	120.024	48	0.792	857316936755711662	857316059311008263	857316059306813958	174	
2	CH4N2O3S	[M - H2O + H]+	CH3N2O2S+	Amino acids and Peptides	0.876	Small peptides	0.816	Aminoacids	0.864	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.981	Carboxylic acids	0.937			Carboxylic acids	0.937	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	106.992	48	0.793	857316938500542166	857316059449420299	857316059445225994	185	
3	CH4N2O3S	[M + H]+	CH5N2O3S+	Amino acids and Peptides	0.428	Small peptides	0.287	Aminoacids	0.256	Organic acids and derivatives	0.914	Carboxylic acids and derivatives	0.769	Carboxylic acids	0.623			Carboxylic acids	0.623	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	125.003	48	0.794	857316976500936727	857316059583638031	857316059579443726	254	
1	C2H2F2O3	[M + Na]+	C2H2F2NaO3+	Fatty acids	0.924	Fatty Acids and Conjugates	0.962	Halogenated fatty acids	0.986	Organic acids and derivatives	0.906	Carboxylic acids and derivatives	0.867	Alpha-halocarboxylic acids and derivatives	0.537	Alpha-halocarboxylic acids	0.577	Alpha-halocarboxylic acids	0.577	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Alpha-halocarboxylic acids and derivatives; Carbonyl compounds; Alkyl halides; Alpha-halocarboxylic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	134.987	48	0.794	857316946947870507	857316059709467155	857316059701078546	256	
1	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	Fatty acids	0.646	Fatty Acids and Conjugates	0.170	Halogenated fatty acids	0.831	Organohalogen compounds	0.997	Alkyl halides	0.795	Alkyl fluorides	0.772			Alkyl fluorides	0.772	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.008	48	0.801	857316986219139177	857316060678351407	857316060665768494	196	
1	C2H3NO4S	[M + Na]+	C2H3NNaO4S+	Amino acids and Peptides	0.321	Small peptides	0.179	Aminoacids	0.209	Organic acids and derivatives	0.984	Organic sulfonic acids and derivatives	0.533	Organosulfonic acids and derivatives	0.522			Organosulfonic acids and derivatives	0.522	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	159.969	48	0.803	857316952534683496	857316061231999547	857316061223610938	277	
1	C6H3O3	[M + K]+	C6H3KO3+	Shikimates and Phenylpropanoids	0.739	Phenolic acids (C6-C1)	0.900	Simple phenolic acids	0.905	Organic acids and derivatives	0.775	Carboxylic acids and derivatives	0.635					Carboxylic acids and derivatives	0.635	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	161.970	48	0.804	857316945123348257	857316061617875527	857316061613681222	281	
3	C2H3N2O2	[M + Na]+	C2H3N2NaO2+	Alkaloids	0.775	Nicotinic acid alkaloids	0.364	Pyridine alkaloids	0.366	Organoheterocyclic compounds	0.714	Azacyclic compounds	0.708					Azacyclic compounds	0.708	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	110.009	49	0.819	857316960612913068	857316063069104771	857316063064910466	391	
3	C6H4Cl3N3O2	[M + H]+	C6H5Cl3N3O2+	Alkaloids	0.715	Pseudoalkaloids (transamidation)	0.490	Purine alkaloids	0.744	Organohalogen compounds	0.999	Aryl halides	0.923	Aryl chlorides	0.940			Aryl chlorides	0.940	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255.944	50	0.827	857317001230553302	857316063517895315	857316063513701010	427	
2	C7H10O3	[M + K]+	C7H10KO3+	Fatty acids	0.922	Fatty esters	0.406	Lactones	0.317	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.729			Carbonyl compounds	0.729	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	181.026	52	0.869	857316999875793099	857316063907965599	857316063903771294	571	
1	C6H12N2	[M + H]+	C6H13N2+	Alkaloids	0.931	Lysine alkaloids	0.105	Polyamines	0.171	Organoheterocyclic compounds	0.982	Diazinanes	0.905	Piperazines	0.911	N-alkylpiperazines	0.853	N-alkylpiperazines	0.853	Organic compounds; Organoheterocyclic compounds; Piperazines; Organonitrogen compounds; Dialkylamines; Trialkylamines; Diazinanes; Amines; Secondary amines; Tertiary amines; N-alkylpiperazines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	113.107	52	0.874	857316994276397240	857316064000240291	857316063996045986	589	
2	C9H6O2S	[M + H]+	C9H7O2S+	Shikimates and Phenylpropanoids	0.655	Tropolones	0.671	Oxygenated hydrocarbons	0.408	Benzenoids	0.513							Benzenoids	0.513	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organooxygen compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	179.017	53	0.891	857317006095945969	857316064092514983	857316064088320678	687	
1	C6H15NO3	[M + H]+	C6H16NO3+	Fatty acids	0.435	Aminosugars and aminoglycosides	0.104	Sphingoid bases	0.279	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.999	Alkanolamines	0.990	1,2-aminoalcohols	0.989	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	150.113	54	0.894	857316987703922824	857316064239315627	857316064235121322	698	
2	C6H12O7S3	[M - H4O2 + H]+	C6H9O5S3+	Fatty acids	0.714	Fatty Acids and Conjugates	0.421	Thia fatty acids	0.103	Organic acids and derivatives	0.966	Organic sulfonic acids and derivatives	0.741	Sulfonic acid esters	0.568			Sulfonic acid esters	0.568	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Sulfonic acid esters; Organic oxygen compounds; Chemical entities	256.962	54	0.897	857317028522889472	857316064381921967	857316064377727662	1491	
1	C6H15NO3	[M + Na]+	C6H15NNaO3+	Fatty acids	0.695	Small peptides	0.571	Aminoacids	0.728	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.998	Amines	0.754	Alkanolamines	0.553	Alkanolamines	0.553	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	172.094	54	0.898	857317018783715581	857316064470002355	857316064465808050	682	
1	C5H13NO2	[M + H]+	C5H14NO2+	Fatty acids	0.424	Fatty amides	0.084	Sphingoid bases	0.119	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.989	Alkanolamines	0.864	1,2-aminoalcohols	0.614	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	120.102	54	0.903	857316991034200222	857316064566471351	857316064566471350	715	
1	C6H15NO4	[M + H]+	C6H16NO4+	Fatty acids	0.510	Fatty amides	0.054	Sphingoid bases	0.109	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.997	Alkanolamines	0.973	1,2-aminoalcohols	0.963	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	166.107	54	0.907	857316998139351236	857316064650357435	857316064650357434	750	
1	C6H12N2O	[M + H]+	C6H13N2O+	Alkaloids	0.720	Ornithine alkaloids	0.084	Acetate-derived alkaloids	0.080	Organoheterocyclic compounds	0.880	Azacyclic compounds	0.900					Azacyclic compounds	0.900	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	129.102	54	0.908	857317014102872315	857316064742632127	857316064738437822	722	
1	CH6N2O4S2	[M + H]+	CH7N2O4S2+	Fatty acids	0.240	Fatty acyls	0.029	Polyamines	0.070	Organic acids and derivatives	0.976	Organic sulfonic acids and derivatives	0.885	Organosulfonic acids and derivatives	0.883			Organosulfonic acids and derivatives	0.883	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	174.985	55	0.909	857317059451687631	857316064839101123	857316064834906818	718	
1	C2H4N2O4S2	[M + H]+	C2H5N2O4S2+	Amino acids and Peptides	0.356	Histidine alkaloids	0.373	Imidazole alkaloids	0.380	Organic acids and derivatives	0.961	Carboxylic acids and derivatives	0.815	Carboxylic acids	0.720			Carboxylic acids	0.720	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	184.969	55	0.912	857317058654769775	857316064927181511	857316064922987206	719	
3	CH4N2O3S2	[M + C2H3N + H]+	C3H8N3O3S2+	Alkaloids	0.356	Pseudoalkaloids (transamidation)	0.019	Polyamines	0.065	Organosulfur compounds	0.975	Sulfonyls	0.945	Sulfonyl azides	0.652			Sulfonyl azides	0.652	Organic compounds; Organosulfur compounds; Organic azides; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Sulfonyl azides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	198.001	55	0.916	857317062043767579	857316065027844811	857316065023650506	770	
1	C5H11NO2	[M + H]+	C5H12NO2+	Amino acids and Peptides	0.996	Small peptides	0.998	Aminoacids	0.997	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.979	Amino acids and derivatives	0.979	Alpha amino acids	0.717	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic salts; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	56	0.925	857317055190274405	857316065191422675	857316065187228370	846	
1	C5H2Cl3NO2	[M + H]+	C5H3Cl3NO2+	Alkaloids	0.868	Proline alkaloids	0.299	Pyrrole alkaloids	0.304	Organoheterocyclic compounds	0.985	Pyridines and derivatives	0.837	Pyridinecarboxylic acids and derivatives	0.583	Pyridinecarboxylic acids	0.562	Pyridinecarboxylic acids	0.562	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Organochlorides; Pyridinecarboxylic acids; Aryl halides; Vinyl halides; Vinylogous halides; Organic oxides; Halopyridines; Polyhalopyridines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 2-halopyridines; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	213.923	56	0.928	857317065701200709	857316065359194843	857316065359194842	776	
2	C8H9NO5S2	[M + K]+	C8H9KNO5S2+	Amino acids and Peptides	0.845	Small peptides	0.356	Aminoacids	0.293	Organic acids and derivatives	0.962	Carboxylic acids and derivatives	0.867	Carboxylic acids	0.809			Carboxylic acids	0.809	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	301.958	56	0.929	857317102552355965	857316065510189795	857316065505995490	802	
1	C3H5N5O	[M + H]+	C3H6N5O+	Alkaloids	0.860	Histidine alkaloids	0.530	Imidazole alkaloids	0.532	Organoheterocyclic compounds	1.000	Triazines	0.985	Aminotriazines	0.764			Aminotriazines	0.764	Organic compounds; Organoheterocyclic compounds; Triazines; Organonitrogen compounds; Organooxygen compounds; Aminotriazines; Triazinones; Amines; Primary amines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	128.057	56	0.930	857317065600537406	857316065585687271	857316065585687270	812	
5	C2H2N2O3S2	[M + C2H3N + H]+	C4H6N3O3S2+	Alkaloids	0.196	Histidine alkaloids	0.459	Imidazole alkaloids	0.457	Organoheterocyclic compounds	0.594							Organoheterocyclic compounds	0.594	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	207.985	56	0.932	857317080771335251	857316065669573355	857316065669573354	738	
3	C7H8O3Si4	[M - H2O + H]+	C7H7O2Si4+	Shikimates and Phenylpropanoids	0.452	Phenolic acids (C6-C1)	0.131	Simple phenolic acids	0.180	Benzenoids	0.950	Benzene and substituted derivatives	0.897					Benzene and substituted derivatives	0.897	Organic compounds; Organooxygen compounds; Organometallic compounds; Organometalloid compounds; Benzene and substituted derivatives; Benzenoids; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	234.952	56	0.937	857317081190765666	857316065766042351	857316065761848046	1006	
5	C3H5N2O3P	[M + K]+	C3H5KN2O3P+	Alkaloids	0.235	Pseudoalkaloids (transamidation)	0.070	Pyridine alkaloids	0.023	Organic acids and derivatives	0.872	Organic phosphonic acids and derivatives	0.557					Organic phosphonic acids and derivatives	0.557	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	186.966	56	0.938	857317075301962825	857316065283697367	857316065283697366	727	
3	C5H5BrN4O2	[M + Na]+	C5H5BrN4NaO2+	Alkaloids	0.286	Histidine alkaloids	0.390	Imidazole alkaloids	0.384	Organoheterocyclic compounds	0.939	Azoles	0.757					Azoles	0.757	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organobromides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	254.949	57	0.944	857317082906236015	857316065917037303	857316065912842998	857	
2	C10H14N2	[M + H]+	C10H15N2+	Alkaloids	1.000	Nicotinic acid alkaloids	0.999	Pyridine alkaloids	0.999	Organoheterocyclic compounds	1.000	Pyridines and derivatives	0.998	Pyrrolidinylpyridines	0.807			Pyrrolidinylpyridines	0.807	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Pyrrolidines; Organonitrogen compounds; Alkaloids and derivatives; Pyrrolidinylpyridines; Trialkylamines; Amines; Tertiary amines; N-alkylpyrrolidines; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	163.123	57	0.945	857317119929357478	857316066000923387	857316065996729082	859	
1	C3H8O4S4	[M + H]+	C3H9O4S4+	Fatty acids	0.892	Fatty acyls	0.480	Thia fatty acids	0.091	Organic acids and derivatives	0.918	Sulfinic acids and derivatives	0.398	Alkanesulfinic acids and derivatives	0.494	Alkanesulfinic acids	0.506	Alkanesulfinic acids	0.506	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Sulfenyl compounds; Alkanesulfinic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	236.939	57	0.953	857317109061915784	857316066084809471	857316066080615166	987	
1	C6H13NO	[M + H]+	C6H14NO+	Alkaloids	0.243	Pseudoalkaloids (transamidation)	0.486	Acetate-derived alkaloids	0.274	Organic oxygen compounds	0.995	Organooxygen compounds	0.985	Alcohols and polyols	0.637			Alcohols and polyols	0.637	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	116.107	58	0.960	857317122534020267	857316066286136071	857316066281941766	1001	
1	C9H21NO2	[M - H2O + H]+	C9H20NO+	Fatty acids	0.847	Fatty amides	0.153	Sphingoid bases	0.540	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.983	Alkanolamines	0.650	Alkanolamines	0.650	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.154	58	0.960	857317124178187439	857316066370022155	857316066365827850	1067	
